beginning training
Test loss: 2.32707476616
Test accuracy: 0.434375
Iteration 21400 completed.
Training loss: 1.28974866867
Training accuracy: 0.6484375
Test loss: 2.43566842079
Test accuracy: 0.41953125
Iteration 21500 completed.
Training loss: 1.40153932571
Training accuracy: 0.61328125
Test loss: 2.20838675499
Test accuracy: 0.46640625
Iteration 21600 completed.
Training loss: 1.27752876282
Training accuracy: 0.62109375
Test loss: 2.19217634201
Test accuracy: 0.45390625
Iteration 21700 completed.
Training loss: 1.34654092789
Training accuracy: 0.625
Test loss: 2.23203315735
Test accuracy: 0.4703125
Iteration 21800 completed.
Training loss: 1.17981445789
Training accuracy: 0.625
Test loss: 2.28417987823
Test accuracy: 0.45234375
Iteration 21900 completed.
Training loss: 1.48250746727
Training accuracy: 0.5703125
Test loss: 2.16841309071
Test accuracy: 0.4609375
Iteration 22000 completed.
Training loss: 1.28077793121
Training accuracy: 0.640625
Test loss: 2.27087974548
Test accuracy: 0.4375
Iteration 22100 completed.
Training loss: 1.4100458622
Training accuracy: 0.57421875
Test loss: 2.40437035561
Test accuracy: 0.43203125
Iteration 22200 completed.
Training loss: 1.30529093742
Training accuracy: 0.62109375
Test loss: 2.4007871151
Test accuracy: 0.409375
Iteration 22300 completed.
Training loss: 1.36636924744
Training accuracy: 0.59375
Test loss: 2.32083230019
Test accuracy: 0.44921875
Iteration 22400 completed.
Training loss: 1.48526072502
Training accuracy: 0.5546875
Test loss: 2.16617465019
Test accuracy: 0.4515625
Iteration 22500 completed.
Training loss: 1.37423849106
Training accuracy: 0.58203125
Test loss: 2.255057621
Test accuracy: 0.46484375
Iteration 22600 completed.
Training loss: 1.43514561653
Training accuracy: 0.5859375
Test loss: 2.25529241562
Test accuracy: 0.45859375
Iteration 22700 completed.
Training loss: 1.39783191681
Training accuracy: 0.6015625
Test loss: 2.17709441185
Test accuracy: 0.45
Iteration 22800 completed.
Training loss: 1.20065116882
Training accuracy: 0.66015625
Test loss: 2.31566143036
Test accuracy: 0.446875
Iteration 22900 completed.
Training loss: 1.45204663277
Training accuracy: 0.5625
Test loss: 2.2249065876
Test accuracy: 0.45703125
Iteration 23000 completed.
Training loss: 1.30094349384
Training accuracy: 0.58984375
Test loss: 2.28318300247
Test accuracy: 0.446875
Iteration 23100 completed.
Training loss: 1.28749930859
Training accuracy: 0.6015625
Test loss: 2.41281337738
Test accuracy: 0.4328125
Iteration 23200 completed.
Training loss: 1.33085727692
Training accuracy: 0.60546875
Test loss: 2.31755218506
Test accuracy: 0.42890625
Iteration 23300 completed.
Training loss: 1.38608324528
Training accuracy: 0.62890625
Test loss: 2.29665799141
Test accuracy: 0.4453125
Iteration 23400 completed.
Training loss: 1.33999836445
Training accuracy: 0.6171875
Test loss: 2.36421937943
Test accuracy: 0.4390625
Iteration 23500 completed.
Training loss: 1.38463163376
Training accuracy: 0.59375
Test loss: 2.18373289108
Test accuracy: 0.471875
Iteration 23600 completed.
Training loss: 1.33333849907
Training accuracy: 0.62890625
Test loss: 2.24987068176
Test accuracy: 0.43984375
Iteration 23700 completed.
Training loss: 1.21902000904
Training accuracy: 0.63671875
Test loss: 2.38379554749
Test accuracy: 0.43828125
Iteration 23800 completed.
Training loss: 1.14315283298
Training accuracy: 0.6484375
Test loss: 2.24679508209
Test accuracy: 0.46484375
Iteration 23900 completed.
Training loss: 1.3363982439
Training accuracy: 0.6015625
Test loss: 2.24508781433
Test accuracy: 0.46328125
Iteration 24000 completed.
Training loss: 1.44548094273
Training accuracy: 0.609375
Test loss: 2.22423877716
Test accuracy: 0.44296875
Iteration 24100 completed.
Training loss: 1.38493514061
Training accuracy: 0.61328125
Test loss: 2.29402351379
Test accuracy: 0.4484375
Iteration 24200 completed.
Training loss: 1.23394179344
Training accuracy: 0.640625
Test loss: 2.19846787453
Test accuracy: 0.4609375
Iteration 24300 completed.
Training loss: 1.34524333477
Training accuracy: 0.61328125
Test loss: 2.365528965
Test accuracy: 0.4421875
Iteration 24400 completed.
Training loss: 1.36938202381
Training accuracy: 0.625
Test loss: 2.31051230431
Test accuracy: 0.46484375
Iteration 24500 completed.
Training loss: 1.36014449596
Training accuracy: 0.58984375
Test loss: 2.28479566574
Test accuracy: 0.45078125
Iteration 24600 completed.
Training loss: 1.20305109024
Training accuracy: 0.6796875
Test loss: 2.28883047104
Test accuracy: 0.4640625
Iteration 24700 completed.
Training loss: 1.34044098854
Training accuracy: 0.63671875
Test loss: 2.30165119171
Test accuracy: 0.43671875
Iteration 24800 completed.
Training loss: 1.30290257931
Training accuracy: 0.640625
Test loss: 2.29993376732
Test accuracy: 0.440625
Iteration 24900 completed.
Training loss: 1.42040061951
Training accuracy: 0.6171875
Test loss: 2.3068649292
Test accuracy: 0.4546875
Iteration 25000 completed.
Training loss: 1.2000002861
Training accuracy: 0.66796875
Test loss: 2.22954790592
Test accuracy: 0.47109375
Iteration 25100 completed.
Training loss: 1.16059792042
Training accuracy: 0.6484375
Test loss: 2.32852392197
Test accuracy: 0.4453125
Iteration 25200 completed.
Training loss: 1.49857616425
Training accuracy: 0.5625
Test loss: 2.25466704369
Test accuracy: 0.45078125
Iteration 25300 completed.
Training loss: 1.34698820114
Training accuracy: 0.58984375
Test loss: 2.14997806549
Test accuracy: 0.48359375
Iteration 25400 completed.
Training loss: 1.28591454029
Training accuracy: 0.63671875
Test loss: 2.30923762321
Test accuracy: 0.45703125
Iteration 25500 completed.
Training loss: 1.13056373596
Training accuracy: 0.65234375
Test loss: 2.24586372375
Test accuracy: 0.46328125
Iteration 25600 completed.
Training loss: 1.30898666382
Training accuracy: 0.62890625
Test loss: 2.32069883347
Test accuracy: 0.43984375
Iteration 25700 completed.
Training loss: 1.26579320431
Training accuracy: 0.64453125
Test loss: 2.28494691849
Test accuracy: 0.45234375
Iteration 25800 completed.
Training loss: 1.32004821301
Training accuracy: 0.6015625
Test loss: 2.37692198753
Test accuracy: 0.41796875
Iteration 25900 completed.
Training loss: 1.3196965456
Training accuracy: 0.609375
Test loss: 2.31520185471
Test accuracy: 0.44453125
Iteration 26000 completed.
Training loss: 1.10636115074
Training accuracy: 0.67578125
Test loss: 2.23825764656
Test accuracy: 0.45625
Iteration 26100 completed.
Training loss: 1.27615988255
Training accuracy: 0.609375
Test loss: 2.3518969059
Test accuracy: 0.43515625
Iteration 26200 completed.
Training loss: 1.27594172955
Training accuracy: 0.6484375
Test loss: 2.28626127243
Test accuracy: 0.4640625
Iteration 26300 completed.
Training loss: 1.2056375742
Training accuracy: 0.62890625
Test loss: 2.33565063477
Test accuracy: 0.44140625
Iteration 26400 completed.
Training loss: 1.24914419651
Training accuracy: 0.60546875
Test loss: 2.23696117401
Test accuracy: 0.44765625
Iteration 26500 completed.
Training loss: 1.23118805885
Training accuracy: 0.671875
Test loss: 2.3182346344
Test accuracy: 0.446875
Iteration 26600 completed.
Training loss: 1.15743005276
Training accuracy: 0.640625
Test loss: 2.28598499298
Test accuracy: 0.45546875
Iteration 26700 completed.
Training loss: 1.10242593288
Training accuracy: 0.6875
Test loss: 2.23320441246
Test accuracy: 0.471875
Iteration 26800 completed.
Training loss: 1.36656486988
Training accuracy: 0.609375
Test loss: 2.31269102097
Test accuracy: 0.46171875
Iteration 26900 completed.
Training loss: 1.41645646095
Training accuracy: 0.58203125
Test loss: 2.19662175179
Test accuracy: 0.471875
Iteration 27000 completed.
Training loss: 1.17527639866
Training accuracy: 0.6328125
Test loss: 2.38248291016
Test accuracy: 0.43046875
Iteration 27100 completed.
Training loss: 1.23723459244
Training accuracy: 0.609375
Test loss: 2.28140668869
Test accuracy: 0.4578125
Iteration 27200 completed.
Training loss: 1.47869896889
Training accuracy: 0.5703125
Test loss: 2.22514388561
Test accuracy: 0.45859375
Iteration 27300 completed.
Training loss: 1.41103100777
Training accuracy: 0.6015625
Test loss: 2.24618606567
Test accuracy: 0.4546875
Iteration 27400 completed.
Training loss: 1.29676914215
Training accuracy: 0.66015625
Test loss: 2.35025262833
Test accuracy: 0.4359375
Iteration 27500 completed.
Training loss: 1.43710756302
Training accuracy: 0.6015625
Test loss: 2.33418769836
Test accuracy: 0.43046875
Iteration 27600 completed.
Training loss: 1.44911313057
Training accuracy: 0.5703125
Test loss: 2.36289644241
Test accuracy: 0.44765625
Iteration 27700 completed.
Training loss: 1.12883734703
Training accuracy: 0.6796875
Test loss: 2.44704647064
Test accuracy: 0.4234375
Iteration 27800 completed.
Training loss: 1.26860821247
Training accuracy: 0.62109375
Test loss: 2.28658738136
Test accuracy: 0.4421875
Iteration 27900 completed.
Training loss: 1.21769738197
Training accuracy: 0.61328125
Test loss: 2.23114323616
Test accuracy: 0.4609375
Iteration 28000 completed.
Training loss: 1.23985242844
Training accuracy: 0.6171875
Test loss: 2.2606218338
Test accuracy: 0.46015625
Iteration 28100 completed.
Training loss: 1.47426247597
Training accuracy: 0.58984375
Test loss: 2.20741286278
Test accuracy: 0.46640625
Iteration 28200 completed.
Training loss: 1.33392453194
Training accuracy: 0.65234375
Test loss: 2.41938047409
Test accuracy: 0.44296875
Iteration 28300 completed.
Training loss: 1.09612417221
Training accuracy: 0.69140625
Test loss: 2.24579663277
Test accuracy: 0.45546875
Iteration 28400 completed.
Training loss: 1.2176053524
Training accuracy: 0.6484375
Test loss: 2.29463906288
Test accuracy: 0.453125
Iteration 28500 completed.
Training loss: 1.30374062061
Training accuracy: 0.64453125
Test loss: 2.27579803467
Test accuracy: 0.4484375
Iteration 28600 completed.
Training loss: 1.23007810116
Training accuracy: 0.6171875
Test loss: 2.38689732552
Test accuracy: 0.43125
Iteration 28700 completed.
Training loss: 1.3242957592
Training accuracy: 0.61328125
Test loss: 2.19106826782
Test accuracy: 0.471875
Iteration 28800 completed.
Training loss: 1.10910081863
Training accuracy: 0.640625
Test loss: 2.30097208023
Test accuracy: 0.446875
Iteration 28900 completed.
Training loss: 1.39477336407
Training accuracy: 0.6328125
Test loss: 2.31722812653
Test accuracy: 0.43828125
