beginning training
Iteration 21600 completed.
Training loss: 1.34658145905
Training accuracy: 0.6484375
Test loss: 2.01250374317
Test accuracy: 0.48125
Iteration 21700 completed.
Training loss: 1.63638544083
Training accuracy: 0.5234375
Test loss: 1.94855830669
Test accuracy: 0.484375
Iteration 21800 completed.
Training loss: 1.6604667902
Training accuracy: 0.5625
Test loss: 2.02443566322
Test accuracy: 0.4640625
Iteration 21900 completed.
Training loss: 1.63148641586
Training accuracy: 0.53125
Test loss: 1.91070821285
Test accuracy: 0.4703125
Iteration 22000 completed.
Training loss: 1.35719943047
Training accuracy: 0.59375
Test loss: 1.93773133755
Test accuracy: 0.496875
Iteration 22100 completed.
Training loss: 1.41760444641
Training accuracy: 0.546875
Test loss: 1.87066617012
Test accuracy: 0.4875
Iteration 22200 completed.
Training loss: 1.28457856178
Training accuracy: 0.609375
Test loss: 2.10903277397
Test accuracy: 0.4453125
Iteration 22300 completed.
Training loss: 1.59794008732
Training accuracy: 0.578125
Test loss: 1.97843794823
Test accuracy: 0.4953125
Iteration 22400 completed.
Training loss: 1.75606906414
Training accuracy: 0.5
Test loss: 2.06382424831
Test accuracy: 0.46875
Iteration 22500 completed.
Training loss: 1.47417116165
Training accuracy: 0.5546875
Test loss: 2.00699157715
Test accuracy: 0.48125
Iteration 22600 completed.
Training loss: 1.85174190998
Training accuracy: 0.4609375
Test loss: 1.97178821564
Test accuracy: 0.4875
Iteration 22700 completed.
Training loss: 1.53355622292
Training accuracy: 0.53125
Test loss: 1.89012658596
Test accuracy: 0.5140625
Iteration 22800 completed.
Training loss: 1.421839118
Training accuracy: 0.5703125
Test loss: 1.94976944923
Test accuracy: 0.48125
Iteration 22900 completed.
Training loss: 1.94159269333
Training accuracy: 0.4921875
Test loss: 1.99350345135
Test accuracy: 0.48125
Iteration 23000 completed.
Training loss: 1.59986412525
Training accuracy: 0.53125
Test loss: 1.99033863544
Test accuracy: 0.4625
Iteration 23100 completed.
Training loss: 1.68337678909
Training accuracy: 0.5078125
Test loss: 1.85696370602
Test accuracy: 0.509375
Iteration 23200 completed.
Training loss: 1.51168394089
Training accuracy: 0.5703125
Test loss: 1.94413297176
Test accuracy: 0.478125
Iteration 23300 completed.
Training loss: 1.72263991833
Training accuracy: 0.515625
Test loss: 1.99376316071
Test accuracy: 0.4640625
Iteration 23400 completed.
Training loss: 1.3467912674
Training accuracy: 0.609375
Test loss: 1.93480875492
Test accuracy: 0.4984375
Iteration 23500 completed.
Training loss: 1.72159469128
Training accuracy: 0.546875
Test loss: 1.87648484707
Test accuracy: 0.5046875
Iteration 23600 completed.
Training loss: 1.65312767029
Training accuracy: 0.515625
Test loss: 1.98330898285
Test accuracy: 0.471875
Iteration 23700 completed.
Training loss: 1.32475447655
Training accuracy: 0.609375
Test loss: 2.0320050478
Test accuracy: 0.4875
Iteration 23800 completed.
Training loss: 1.14624834061
Training accuracy: 0.6640625
Test loss: 2.01447143555
Test accuracy: 0.4609375
Iteration 23900 completed.
Training loss: 1.57475316525
Training accuracy: 0.5546875
Test loss: 2.0875285387
Test accuracy: 0.4640625
Iteration 24000 completed.
Training loss: 1.76329410076
Training accuracy: 0.4921875
Test loss: 1.97890641689
Test accuracy: 0.484375
Iteration 24100 completed.
Training loss: 1.41538453102
Training accuracy: 0.546875
Test loss: 1.97937610149
Test accuracy: 0.4625
Iteration 24200 completed.
Training loss: 1.52800059319
Training accuracy: 0.5625
Test loss: 1.96559567451
Test accuracy: 0.4859375
Iteration 24300 completed.
Training loss: 1.55449998379
Training accuracy: 0.578125
Test loss: 1.99738190174
Test accuracy: 0.4734375
Iteration 24400 completed.
Training loss: 1.60739541054
Training accuracy: 0.5546875
Test loss: 1.93746140003
Test accuracy: 0.4921875
Iteration 24500 completed.
Training loss: 1.53155374527
Training accuracy: 0.59375
Test loss: 1.92221636772
Test accuracy: 0.4984375
Iteration 24600 completed.
Training loss: 1.14896011353
Training accuracy: 0.671875
Test loss: 1.83696699142
Test accuracy: 0.515625
Iteration 24700 completed.
Training loss: 1.59050369263
Training accuracy: 0.5390625
Test loss: 1.97549242973
Test accuracy: 0.5109375
Iteration 24800 completed.
Training loss: 1.55213201046
Training accuracy: 0.59375
Test loss: 2.06384143829
Test accuracy: 0.4609375
Iteration 24900 completed.
Training loss: 1.52441060543
Training accuracy: 0.5234375
Test loss: 2.03931376934
Test accuracy: 0.459375
Iteration 25000 completed.
Training loss: 1.42180943489
Training accuracy: 0.5703125
Test loss: 2.0088558197
Test accuracy: 0.4984375
Iteration 25100 completed.
Training loss: 1.40505290031
Training accuracy: 0.609375
Test loss: 2.07876143456
Test accuracy: 0.4625
Iteration 25200 completed.
Training loss: 1.35996472836
Training accuracy: 0.6015625
Test loss: 1.91250991821
Test accuracy: 0.5
Iteration 25300 completed.
Training loss: 1.43203151226
Training accuracy: 0.6015625
Test loss: 2.00763261318
Test accuracy: 0.4796875
Iteration 25400 completed.
Training loss: 1.38628876209
Training accuracy: 0.578125
Test loss: 2.02463159561
Test accuracy: 0.4859375
Iteration 25500 completed.
Training loss: 1.52859818935
Training accuracy: 0.5625
Test loss: 2.02693684101
Test accuracy: 0.4796875
Iteration 25600 completed.
Training loss: 1.38888382912
Training accuracy: 0.625
Test loss: 1.9439763546
Test accuracy: 0.5015625
Iteration 25700 completed.
Training loss: 1.39088356495
Training accuracy: 0.5703125
Test loss: 1.88948707581
Test accuracy: 0.4953125
Iteration 25800 completed.
Training loss: 1.69223415852
Training accuracy: 0.5625
Test loss: 1.95896530151
Test accuracy: 0.4890625
Iteration 25900 completed.
Training loss: 1.40999126434
Training accuracy: 0.609375
Test loss: 1.91811153889
Test accuracy: 0.490625
Iteration 26000 completed.
Training loss: 1.23264324665
Training accuracy: 0.625
Test loss: 1.98428206444
Test accuracy: 0.4828125
Iteration 26100 completed.
Training loss: 1.34961009026
Training accuracy: 0.609375
Test loss: 2.02482943535
Test accuracy: 0.4578125
Iteration 26200 completed.
Training loss: 1.44672632217
Training accuracy: 0.5859375
Test loss: 2.07993891239
Test accuracy: 0.4609375
Iteration 26300 completed.
Training loss: 1.37955117226
Training accuracy: 0.625
Test loss: 1.96562702656
Test accuracy: 0.4734375
Iteration 26400 completed.
Training loss: 1.5246335268
Training accuracy: 0.5625
Test loss: 2.03064851761
Test accuracy: 0.4734375
Iteration 26500 completed.
Training loss: 1.47227954865
Training accuracy: 0.6015625
Test loss: 2.06189579964
Test accuracy: 0.4609375
Iteration 26600 completed.
Training loss: 1.39670467377
Training accuracy: 0.6171875
Test loss: 1.98603415489
Test accuracy: 0.4890625
Iteration 26700 completed.
Training loss: 1.27477383614
Training accuracy: 0.640625
Test loss: 2.05898854733
Test accuracy: 0.478125
Iteration 26800 completed.
Training loss: 1.38549232483
Training accuracy: 0.6171875
Test loss: 2.02983574867
Test accuracy: 0.471875
Iteration 26900 completed.
Training loss: 1.62492775917
Training accuracy: 0.546875
Test loss: 2.05383882523
Test accuracy: 0.4640625
Iteration 27000 completed.
Training loss: 1.35028386116
Training accuracy: 0.6328125
Test loss: 1.9849167347
Test accuracy: 0.49375
Iteration 27100 completed.
Training loss: 1.23955845833
Training accuracy: 0.625
Test loss: 2.13002929688
Test accuracy: 0.4625
Iteration 27200 completed.
Training loss: 1.63822436333
Training accuracy: 0.5625
Test loss: 2.02284269333
Test accuracy: 0.48125
